Crank Angle,Lift %,Flow coefficient,Opens at,Closes at,Max lift,Valve diameter
0,0.04,0.024,490,10,0.009975,0.0399
2,0.028,0.0168,,,,
4,0.02,0.012,,,,
6,0.01,0.006,,,,
8,0.005,0.003,,,,
10,0.002,0.0012,,,,
12,0,0,,,,
14,0,0,,,,
16,0,0,,,,
18,0,0,,,,
20,0,0,,,,
22,0,0,,,,
24,0,0,,,,
26,0,0,,,,
28,0,0,,,,
30,0,0,,,,
32,0,0,,,,
34,0,0,,,,
36,0,0,,,,
38,0,0,,,,
40,0,0,,,,
42,0,0,,,,
44,0,0,,,,
46,0,0,,,,
48,0,0,,,,
50,0,0,,,,
52,0,0,,,,
54,0,0,,,,
56,0,0,,,,
58,0,0,,,,
60,0,0,,,,
62,0,0,,,,
64,0,0,,,,
66,0,0,,,,
68,0,0,,,,
70,0,0,,,,
72,0,0,,,,
74,0,0,,,,
76,0,0,,,,
78,0,0,,,,
80,0,0,,,,
82,0,0,,,,
84,0,0,,,,
86,0,0,,,,
88,0,0,,,,
90,0,0,,,,
92,0,0,,,,
94,0,0,,,,
96,0,0,,,,
98,0,0,,,,
100,0,0,,,,
102,0,0,,,,
104,0,0,,,,
106,0,0,,,,
108,0,0,,,,
110,0,0,,,,
112,0,0,,,,
114,0,0,,,,
116,0,0,,,,
118,0,0,,,,
120,0,0,,,,
122,0,0,,,,
124,0,0,,,,
126,0,0,,,,
128,0,0,,,,
130,0,0,,,,
132,0,0,,,,
134,0,0,,,,
136,0,0,,,,
138,0,0,,,,
140,0,0,,,,
142,0,0,,,,
144,0,0,,,,
146,0,0,,,,
148,0,0,,,,
150,0,0,,,,
152,0,0,,,,
154,0,0,,,,
156,0,0,,,,
158,0,0,,,,
160,0,0,,,,
162,0,0,,,,
164,0,0,,,,
166,0,0,,,,
168,0,0,,,,
170,0,0,,,,
172,0,0,,,,
174,0,0,,,,
176,0,0,,,,
178,0,0,,,,
180,0,0,,,,
182,0,0,,,,
184,0,0,,,,
186,0,0,,,,
188,0,0,,,,
190,0,0,,,,
192,0,0,,,,
194,0,0,,,,
196,0,0,,,,
198,0,0,,,,
200,0,0,,,,
202,0,0,,,,
204,0,0,,,,
206,0,0,,,,
208,0,0,,,,
210,0,0,,,,
212,0,0,,,,
214,0,0,,,,
216,0,0,,,,
218,0,0,,,,
220,0,0,,,,
222,0,0,,,,
224,0,0,,,,
226,0,0,,,,
228,0,0,,,,
230,0,0,,,,
232,0,0,,,,
234,0,0,,,,
236,0,0,,,,
238,0,0,,,,
240,0,0,,,,
242,0,0,,,,
244,0,0,,,,
246,0,0,,,,
248,0,0,,,,
250,0,0,,,,
252,0,0,,,,
254,0,0,,,,
256,0,0,,,,
258,0,0,,,,
260,0,0,,,,
262,0,0,,,,
264,0,0,,,,
266,0,0,,,,
268,0,0,,,,
270,0,0,,,,
272,0,0,,,,
274,0,0,,,,
276,0,0,,,,
278,0,0,,,,
280,0,0,,,,
282,0,0,,,,
284,0,0,,,,
286,0,0,,,,
288,0,0,,,,
290,0,0,,,,
292,0,0,,,,
294,0,0,,,,
296,0,0,,,,
298,0,0,,,,
300,0,0,,,,
302,0,0,,,,
304,0,0,,,,
306,0,0,,,,
308,0,0,,,,
310,0,0,,,,
312,0,0,,,,
314,0,0,,,,
316,0,0,,,,
318,0,0,,,,
320,0,0,,,,
322,0,0,,,,
324,0,0,,,,
326,0,0,,,,
328,0,0,,,,
330,0,0,,,,
332,0,0,,,,
334,0,0,,,,
336,0,0,,,,
338,0,0,,,,
340,0,0,,,,
342,0,0,,,,
344,0,0,,,,
346,0,0,,,,
348,0,0,,,,
350,0,0,,,,
352,0,0,,,,
354,0,0,,,,
356,0,0,,,,
358,0,0,,,,
360,0,0,,,,
362,0,0,,,,
364,0,0,,,,
366,0,0,,,,
368,0,0,,,,
370,0,0,,,,
372,0,0,,,,
374,0,0,,,,
376,0,0,,,,
378,0,0,,,,
380,0,0,,,,
382,0,0,,,,
384,0,0,,,,
386,0,0,,,,
388,0,0,,,,
390,0,0,,,,
392,0,0,,,,
394,0,0,,,,
396,0,0,,,,
398,0,0,,,,
400,0,0,,,,
402,0,0,,,,
404,0,0,,,,
406,0,0,,,,
408,0,0,,,,
410,0,0,,,,
412,0,0,,,,
414,0,0,,,,
416,0,0,,,,
418,0,0,,,,
420,0,0,,,,
422,0,0,,,,
424,0,0,,,,
426,0,0,,,,
428,0,0,,,,
430,0,0,,,,
432,0,0,,,,
434,0,0,,,,
436,0,0,,,,
438,0,0,,,,
440,0,0,,,,
442,0,0,,,,
444,0,0,,,,
446,0,0,,,,
448,0,0,,,,
450,0,0,,,,
452,0,0,,,,
454,0,0,,,,
456,0,0,,,,
458,0,0,,,,
460,0,0,,,,
462,0,0,,,,
464,0,0,,,,
466,0,0,,,,
468,0,0,,,,
470,0,0,,,,
472,0,0,,,,
474,0,0,,,,
476,0,0,,,,
478,0,0,,,,
480,0,0,,,,
482,0,0,,,,
484,0,0,,,,
486,0,0,,,,
488,0,0,,,,
490,0.005,0.003,,,,
492,0.01,0.006,,,,
494,0.02,0.012,,,,
496,0.028,0.0168,,,,
498,0.04,0.024,,,,
500,0.055,0.033,,,,
502,0.076,0.0456,,,,
504,0.12,0.072,,,,
506,0.155,0.093,,,,
508,0.19,0.114,,,,
510,0.225,0.135,,,,
512,0.26,0.156,,,,
514,0.295,0.177,,,,
516,0.33,0.198,,,,
518,0.365,0.219,,,,
520,0.4,0.24,,,,
522,0.435,0.261,,,,
524,0.47,0.282,,,,
526,0.505,0.303,,,,
528,0.54,0.324,,,,
530,0.575,0.345,,,,
532,0.61,0.366,,,,
534,0.645,0.387,,,,
536,0.68,0.408,,,,
538,0.715,0.429,,,,
540,0.75,0.45,,,,
542,0.785,0.471,,,,
544,0.825,0.495,,,,
546,0.86,0.516,,,,
548,0.89,0.534,,,,
550,0.92,0.552,,,,
552,0.95,0.57,,,,
554,0.97,0.582,,,,
556,0.98,0.588,,,,
558,0.99995,0.59997,,,,
560,1,0.6,,,,
562,1,0.6,,,,
564,1,0.6,,,,
566,1,0.6,,,,
568,1,0.6,,,,
570,1,0.6,,,,
572,1,0.6,,,,
574,1,0.6,,,,
576,1,0.6,,,,
578,1,0.6,,,,
580,1,0.6,,,,
582,1,0.6,,,,
584,1,0.6,,,,
586,1,0.6,,,,
588,1,0.6,,,,
590,1,0.6,,,,
592,1,0.6,,,,
594,1,0.6,,,,
596,1,0.6,,,,
598,1,0.6,,,,
600,1,0.6,,,,
602,1,0.6,,,,
604,1,0.6,,,,
606,1,0.6,,,,
608,1,0.6,,,,
610,1,0.6,,,,
612,1,0.6,,,,
614,1,0.6,,,,
616,1,0.6,,,,
618,1,0.6,,,,
620,1,0.6,,,,
622,1,0.6,,,,
624,1,0.6,,,,
626,1,0.6,,,,
628,1,0.6,,,,
630,1,0.6,,,,
632,1,0.6,,,,
634,1,0.6,,,,
636,1,0.6,,,,
638,1,0.6,,,,
640,1,0.6,,,,
642,1,0.6,,,,
644,1,0.6,,,,
646,1,0.6,,,,
648,1,0.6,,,,
650,1,0.6,,,,
652,1,0.6,,,,
654,1,0.6,,,,
656,1,0.6,,,,
658,1,0.6,,,,
660,1,0.6,,,,
662,0.99995,0.59997,,,,
664,0.98,0.588,,,,
666,0.97,0.582,,,,
668,0.95,0.57,,,,
670,0.92,0.552,,,,
672,0.89,0.534,,,,
674,0.86,0.516,,,,
676,0.825,0.495,,,,
678,0.785,0.471,,,,
680,0.75,0.45,,,,
682,0.715,0.429,,,,
684,0.68,0.408,,,,
686,0.645,0.387,,,,
688,0.61,0.366,,,,
690,0.575,0.345,,,,
692,0.54,0.324,,,,
694,0.505,0.303,,,,
696,0.47,0.282,,,,
698,0.435,0.261,,,,
700,0.4,0.24,,,,
702,0.365,0.219,,,,
704,0.33,0.198,,,,
706,0.295,0.177,,,,
708,0.26,0.156,,,,
710,0.225,0.135,,,,
712,0.19,0.114,,,,
714,0.155,0.093,,,,
716,0.12,0.072,,,,
718,0.076,0.0456,,,,
720,0.055,0.033,,,,
